Date,Signal,Exec_Price_NextOpen,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2024-01-16,1,46.545431437419865,46.73236083984375,0,271051.42350969306,276234.22747452464,157820.9273757879,0,Ensemble (RF + HGB),18
2024-01-17,1,46.73236121092514,46.5921630859375,1,270238.2653450674,275405.52082354506,157820.9273757879,1,Ensemble (RF + HGB),18
2024-01-18,1,48.97551776185129,48.55492401123047,0,281622.4353987291,287007.36884003185,157768.20941468707,0,Ensemble (RF + HGB),18
2024-01-19,1,50.377490426616795,48.274532318115234,0,279996.14119502646,285349.9780866864,162092.99725004783,0,Ensemble (RF + HGB),18
2024-01-23,1,47.994138258474145,47.760475158691406,1,277014.5686332487,282311.39454929915,162039.4910920552,1,Ensemble (RF + HGB),18
2024-01-24,1,50.37748749787052,50.2372932434082,0,291380.31124868814,296951.8261031732,169612.90954248738,0,Ensemble (RF + HGB),18
2024-01-25,1,50.37748778225796,49.91016387939453,1,289482.9348227121,295018.16973468295,169886.6850418421,1,Ensemble (RF + HGB),18
2024-01-29,1,50.938278730525525,50.470951080322266,0,292735.545355666,298332.97378998756,169831.7409484519,0,Ensemble (RF + HGB),18
2024-01-30,1,50.424218655261,50.2372932434082,1,291380.31124868814,296951.8261031732,167920.3112434836,1,Ensemble (RF + HGB),18
2024-01-31,1,52.15331165034433,51.639259338378906,1,299511.8265182986,305238.82496712793,167865.72994605917,1,Ensemble (RF + HGB),18
2024-02-01,1,53.46182015349372,52.760833740234375,1,306017.04758420645,311868.4330777372,169821.15973279017,1,Ensemble (RF + HGB),18
2024-02-02,1,54.022608340414,53.64875030517578,1,311167.0345431364,317116.89350153215,173678.94901585134,1,Ensemble (RF + HGB),18
2024-02-05,1,56.92001738055064,56.12556457519531,1,325532.7550330272,331757.3025067925,173623.30524975792,1,Ensemble (RF + HGB),18
2024-02-06,1,58.27525297536913,57.7144660949707,1,334748.51068953675,341149.2736368716,176046.6146230991,1,Ensemble (RF + HGB),18
2024-02-07,1,64.3037297338491,62.52790069580078,0,362666.8156302414,369601.4075450264,190729.0490892072,0,Ensemble (RF + HGB),18
2024-02-08,1,59.91088413335601,59.72395706176758,0,346403.7187143745,353027.34217127576,182176.1711408387,0,Ensemble (RF + HGB),18
2024-02-09,1,57.94813060171573,57.52753448486328,0,333664.29242818634,340044.32391936093,175476.41655401702,0,Ensemble (RF + HGB),18
2024-02-12,1,52.20004460342572,51.68599319458008,1,299782.88661502337,305515.068033659,159037.63842065746,1,Ensemble (RF + HGB),18
2024-02-13,1,52.43371036713538,54.209537506103516,1,314419.6450760903,320431.69755683676,158984.69597636885,1,Ensemble (RF + HGB),18
2024-02-14,1,56.45269346874288,56.0321044921875,1,324990.679090675,331204.8614709577,170970.01249939433,1,Ensemble (RF + HGB),18
2024-02-15,1,58.742578088726525,58.18178939819336,0,337459.0231545898,343911.6141077278,170914.8685320882,0,Ensemble (RF + HGB),18
2024-02-16,1,57.901397705078125,57.901397705078125,0,335832.72895088716,342254.22335438227,168269.52688049947,0,Ensemble (RF + HGB),18
2024-02-19,1,58.041591668964294,57.901397705078125,0,335832.72895088716,342254.22335438227,168269.52688049947,0,Ensemble (RF + HGB),18
2024-02-20,1,57.340605952577405,57.01348114013672,0,330682.7419919572,337005.76293058734,168214.88115279,0,Ensemble (RF + HGB),18
2024-02-21,1,56.77981827809829,56.452693939208984,1,327430.1314590033,333690.9588752827,165610.09504490637,1,Ensemble (RF + HGB),18
2024-02-22,1,57.76119658575266,57.621002197265625,0,334206.4126216359,340596.8100524231,169037.45392111628,0,Ensemble (RF + HGB),18
2024-02-23,1,57.3873385193817,57.060211181640625,0,330953.77996313333,337281.98344850476,168154.2160822035,0,Ensemble (RF + HGB),18
2024-02-26,1,56.82655100574433,56.639617919921875,0,328514.30546925636,334795.863495566,168099.59162933633,0,Ensemble (RF + HGB),18
2024-02-27,1,56.17229686144072,55.98537063598633,0,324719.61899395025,330928.61840442655,165968.734367391,0,Ensemble (RF + HGB),18
2024-02-28,1,54.20953805933637,54.16280746459961,1,314148.6071049142,320155.47703891934,165968.734367391,1,Ensemble (RF + HGB),18
2024-02-29,1,56.07883783034336,55.798439025878906,1,323635.40073259984,329823.6686869159,165968.734367391,1,Ensemble (RF + HGB),18
2024-03-01,1,56.49943024413125,56.779823303222656,1,329327.50788497936,335624.615243773,165914.51313590023,1,Ensemble (RF + HGB),18
2024-03-04,1,57.15367872543432,57.10694885253906,1,331224.86218540673,337558.24906364956,167698.53385432955,1,Ensemble (RF + HGB),18
